Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
4.52,0.1,7.3,27.8,3.74,-1.02,0.2,0.44,0.12,10.2,20.8,3.4,4.57,5.67,9.08,0.16,0.45,0.35,0.2,1.1,16.3,-2.1,0.04,0.02,0,0,0.01
21,5.7,7.7,,1.82,,-0.02,,,11,211.6,-0.3,,,,0.28,,0.04,0,0,0,0.5,0.01,0.05,0.26,0.21,0.3
59.17,756.6,62.7,4351.2,2.29,0.07,0.14,0.17,0.09,3532.3,4850.8,406.9,933.77,1166.57,551.08,0.01,0.01,0.01,253.2,232.8,4615.9,412.2,0.58,0.14,0.1,0.09,0.21
80.33,868.4,161.4,660,2.43,-0.09,0.11,0.13,0.12,1414.7,1933.4,77.1,309.28,333.98,202.02,0.04,0.19,0.08,7,24.7,828,77.1,0.46,0.02,0.32,0.24,0.55
0.08,1.2,0.1,0.3,,-0.69,,1.46,-2,-0.4,0.1,-0.6,-0.58,-0.58,-0.98,0.02,,1,0,0,0,-0.6,0,0,0.32,0.24,
14.59,30.9,26.1,,1.04,,0.12,,,210.1,520.9,24.4,,,,0.11,,0.05,3.4,0,0,25.6,0.16,0.01,0.14,0.13,0.13
0.02,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
47.75,120,205.7,346,18.56,-0.03,0.19,0.49,0.14,163.5,499.8,47.6,85.46,111.16,82.57,0.06,0.56,0.41,21.9,25.7,364.8,0,0.17,0.13,0.04,0.04,0.33
46.49,1141,3813,,4.25,,0.16,,,4901,59326,1186,,,,0.15,,0.06,21,0,0,1186,0,0.01,0.05,0.05,0.13
1.73,0.7,0.3,23.1,3.25,0.06,0.4,0.31,0.08,5.1,8.2,1.9,1.57,1.77,1.47,0.02,0.01,0.04,0.2,0.2,23.6,1.9,0,0.05,0.04,0.04,0.13
19.44,109.8,18.1,395.6,1.85,0.17,0.14,0.14,0.07,278.1,390,26.8,62.35,74.45,33.39,0.03,0.04,0.05,11.1,12.1,427.2,29.8,0.38,0.14,0.26,0.21,0.37
2.4,0.4,0,0.1,113.4,-0.81,-2,-0.25,-2,0.5,0.6,-0.2,-0.12,-0.12,-0.22,0,0,0,0.1,0,0.1,0,0,0.83,0.01,0.01,0.8
16.59,1158.6,325.6,5273.3,1.05,0.08,0.11,0.12,0.03,2255.4,4297.3,158.9,423.45,523.55,240.04,0.12,0.06,0.08,78.4,100.1,5581.8,157.1,0.23,0.14,0.76,0.43,0.45
5.98,0.8,175.2,117,1.84,-7.67,-0.03,0.01,-0.06,86.5,321,-7.2,0.81,9.11,7,0.52,1.37,0.55,4,8.3,128.2,-11.4,0.25,0.03,0,0,0
33.31,1150,2315,7181,6.48,-0.38,0.1,0.24,0.05,2404,7056,349,713.79,1005.79,780.46,0.13,0.36,0.33,118,292,6441,381,0.06,0.18,0.07,0.06,0.24
18.22,59.6,241.9,1622.9,2.49,-0.31,0.08,0.22,0.02,150.2,815.2,25.9,54.53,66.13,44.37,0.39,0.15,0.3,2,11.6,1646.2,25.9,0.22,0.04,0.11,0.1,0.15
34.83,1957,49,1832,1.4,0.77,0.11,0.09,0.08,3293,5640,153,460.93,559.93,67.65,0.01,0.02,0.01,264,99,2230,153,0.07,0.56,0.73,0.42,0.59
19.78,141.5,97.8,188,3.36,0.61,0.09,0.14,0.23,513.9,718.2,43.6,81.4,103.2,28.02,0.05,0.45,0.14,53.3,21.8,215.5,43.6,0,0.59,0.08,0.08,0.23
6.9,594.3,53.9,2726.6,0.8,0.13,-0.03,0.09,-0.01,1136.9,1592,-15.1,100.61,173.21,87.53,0.06,0.02,0.03,29.2,72.6,3199.4,6.3,0.03,0.43,1.59,0.61,0.51
22.06,600,425,2838,2.08,0,0.2,0.27,0.08,1473,2656,224,588.89,744.89,394.39,0.12,0.13,0.16,82,156,3335,224,0,0.47,0.21,0.17,0.35
0.04,0.1,0,,,,,,,-0.3,0.2,-1.5,,,,0,,0,0,0,0,-0.9,0,0,0.06,0.06,
7.52,13120,4175,67308.8,1.37,0.03,0,0.19,0,15008.8,29248.8,-28.8,2894.28,4738.08,2820.58,0.17,,0.14,1696.3,1843.8,0,0,0.13,0.4,1.13,0.53,0.68
3.56,0.8,0,26.6,1.07,0.28,-0.36,-0.26,-0.05,4.1,7.7,-1.2,-1.08,-0.78,-0.78,0,0,0,0,0.3,26.6,-1.2,0,0.04,0.22,0.18,0.2
0.07,0,0,0.1,,0,,-0.16,0,-0.5,0,0,0.08,0.08,0.08,0,0,,0,0,0.1,0,,,0,0,
17.3,84.5,2.6,273.1,1.77,0.92,0.04,0.09,0.01,155,204.7,3.2,23.3,34.3,1.12,0.01,0.01,0.01,15.1,11,315,8.1,0.03,0.47,0.44,0.31,0.54
