Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
1.23,0.5,4.9,2.3,0.87,0,0.02,-0.07,0.09,8.2,14.7,0.2,-0.6,-0.6,-0.6,0.41,2.13,0.33,0,0,2.3,0.2,0.34,0.01,0.04,0.04,0.04
3.57,8.4,0.3,53.6,1.37,0.74,0.16,0.14,0.04,22.2,32.6,2.3,4.62,5.62,0.81,0.01,0.01,0.01,2.5,1,56.4,1.2,0.15,0.12,0.38,0.27,0.37
0,0,0,0.1,0.38,-14.6,-0.5,-1.02,-4,0.8,0.8,-0.4,-0.82,-0.82,-12.72,0,0,0,0,0,1.8,-0.4,0,0,0,0,0
27.7,94.7,72,,1.63,,0.1,,,260.9,2413.9,24.4,,,,0.14,,0.03,0,0,0,25.9,0.03,0,0.24,0.19,0.28
76.59,0,0,,,,,,,0,0,0,,,,0,0,,0,0,3127.1,0,,,0,0,
0.22,0,18.9,,,,-0.16,,,33.2,26.1,-3.6,,,,4.5,,0.72,0,0,0,-3.3,0,0,0,0,0
3.77,0,83.3,275.4,1.68,-0.16,0.07,0.21,0.03,48.1,153.4,8.8,16.14,19.44,11.84,0.51,0.3,0.54,1.5,3.3,276.3,7.9,0,0.04,0,0,0
36.37,3,47.9,698.1,4.23,0.68,0.18,0.22,0.12,418,545.1,81.5,149.67,168.07,29.58,0.03,0.06,0.09,46,18.4,810.1,94.4,0.08,0.25,0,0,0.01
0.29,3,2.1,14.9,7.14,0.61,-1.85,-1.02,-0.25,2.9,8,-3.7,-2.97,-2.47,-1.17,0.09,,0.26,0.6,0.5,0,0,0,0.11,0.15,0.13,0.6
5.18,0,1.8,4.8,5.29,-0.17,0.06,0.12,0.06,3.1,5.6,0.3,0.51,0.71,0.45,0.1,0.36,0.32,0.1,0.2,5,0.8,0,0.02,0,0,0
24.16,100,275.6,200,13.98,0.05,0.26,0.96,0.33,77.7,430.4,66.9,78.66,87.96,70.63,0.2,1.39,0.64,13,9.3,198.4,46.7,0.17,0.04,0.08,0.07,0.28
9.2,1639.7,10.5,708.3,1.3,-0.65,0.06,0.09,0.02,1855.8,2465.7,14,314.34,471.44,287.72,0,0.01,0,44.9,157.1,702.2,14,0.68,0.14,2.08,0.68,0.88
15.9,0,0,,,,,,,0,0,0,,,,,0,,0,0,7648.1,2009.2,,,,,
0.22,1.3,1.3,3.6,0.28,-0.15,-1,-0.22,-1.03,10.2,7.4,-3.7,-2.21,-1.91,-2.53,0.31,0.59,0.18,0,0.3,2.2,-5,0.66,0.01,0.45,0.31,0.26
0.01,0.5,0.1,,2.33,,-8.5,,,0.6,0.9,-1.7,,,,0.07,,0.11,0.1,0.1,0,-1.1,0,0.11,0.5,0.33,0.71
1.56,21.3,21.2,49.4,0.89,0.12,-0.58,-0.43,-0.7,59.4,101.6,-34.6,-25.52,-18.22,-22.38,0.29,0.37,0.21,3,7.3,56.8,-29.8,0,0.51,0.4,0.29,0.26
4.61,0.1,10.4,61.3,4.17,-0.67,0.03,0.13,0.02,37,55.9,1.2,7.47,13.27,8.18,0.06,0.17,0.19,2.8,5.8,59.8,-2.8,0.23,0.15,0,0,0
29.8,0,101.3,117.4,12.58,-0.06,0.14,0.25,0.26,110.5,228.5,30.7,28.04,34.94,29.73,0.07,0.84,0.44,4.6,6.9,120.9,28.3,0.19,0.02,0,0,0
1.4,0.1,1,,47.2,,-2.33,,,0.5,1.8,-2.8,,,,0.04,10,0.56,0.7,0,0.1,-2.9,0,0.39,0,0,0.08
6.7,656.3,759.2,66.9,9.89,1,-0.71,-0.51,-10.65,897.7,1957.6,-712.2,-456.53,-361.13,2.21,0.08,4.05,0.39,28.6,95.4,187.4,-811.2,0.04,0.45,0.07,0.07,0.4
3.03,3.1,36.1,1.5,118.92,0.27,-0.84,-20.38,-19.27,1.3,41.6,-28.9,-26.49,-24.79,-19.4,0.19,7.85,0.87,0.4,1.7,4.6,-27.1,0,0.06,0.02,0.02,0.08
7.99,680.2,233.5,3470.3,1.29,-0.09,-0.11,0.13,-0.01,813,1793.1,-38.7,107.58,152.78,117.28,0.18,0.07,0.13,35.5,45.2,3470.3,-38.7,0.35,0.09,1.13,0.53,0.65
16.75,0,3,,0.69,,0.1,,,5.2,47.2,0.8,,,,0.45,,0.06,0,0,0,0.8,0,0.03,0,0,0
3.12,120.4,28.9,956.4,1.43,-0.16,-0.2,0.24,-0.03,224.2,397.5,-26.6,54.13,90.33,62.67,0.08,0.03,0.07,25,36.2,989.9,-27,0.12,0.22,0.52,0.34,0.48
0.06,1.6,0,3.1,4,-0.64,1,0.47,0.03,1.7,2.5,0.1,0.81,1.31,1.32,0,0,0,0,0.5,3.2,0,0.68,0.16,0.31,0.24,0.94
0.01,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
7.71,2149.5,68.8,1037.7,0.87,-0.16,-0.09,0.09,-0.07,3194.3,3642.2,-74.8,301.04,452.44,348.76,0.02,0.06,0.02,107,151.4,1109,0,0.34,0.55,3.01,0.75,0.72
5.5,0,1.3,7.6,4.92,-0.19,0.44,0.45,0.14,1.2,3,1.1,0.54,0.74,0.65,0.18,0.17,0.43,0.1,0.2,7.7,1.2,0,0.23,0,0,0
12.79,0,0,,,,,,,0,0,0,,,,,0,,0,0,50,14.7,,,,,
45.77,143.9,10.9,166.9,1.8,0.44,0.09,0.17,0.1,317.7,552.2,16,94.22,112.72,30.64,0.02,0.06,0.02,42.3,18.5,174.5,21.5,0.02,0.83,0.33,0.25,0.44
15.31,116.1,137.7,920.3,2.21,0.23,0.08,0.14,0.03,273.3,518.7,23.5,64.05,84.55,30.11,0.19,0.14,0.27,15.9,20.5,989.3,23.6,0,0.16,0.19,0.16,0.28
5.5,0,54.9,212.3,16.26,3.05,0.13,0.98,0.05,30,303.5,11.1,31.12,50.62,-60.35,0.1,,0.18,7.6,19.5,0,11.1,0.39,0.03,0,0,0
0.18,0,0.1,0.5,21.8,1.01,-1.33,-1.27,-1.6,0.5,1.5,-0.8,-0.64,-0.54,0,0.01,0.11,0.07,0.1,0.1,0.9,-1,0.07,0,0,0,0
27.82,2183.6,232.4,,1.45,,0.12,,,3422.2,14944.4,175.2,,,,0.04,,0.02,0,0,0,179.9,0.04,0,0.73,0.42,0.6
0.82,1.9,0,0.3,,-0.3,,4.23,-5.67,-0.4,0.6,-1.7,-1.69,-1.69,-2.19,0,,0,0,0,0,-1.8,0,0.17,0.11,0.1,
8.53,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
36.4,0,149.5,454.3,3.74,-0.16,0.03,0.15,0.01,40,237.4,5.5,9.59,12.99,7.03,0.5,0.33,0.63,2.4,3.4,455,7,0,0.15,0,0,0
0,7.7,0.5,7.6,,2.21,,-5.07,-0.08,-0.5,4.8,-0.6,2.53,3.23,-3.07,0.06,,0.1,0.3,0.7,0,0,0,0.75,836.96,1,
38.25,0,94.5,2.1,3.59,-0.24,0.13,-0.07,8.52,159.5,154.6,17.9,-10.79,-10.59,-13.41,0.14,78.75,0.61,0.8,0.2,1.2,-7.7,0,0,0,0,0
0,1.5,1.7,0.1,0.07,,-7.1,0,-206,32.7,7,-20.6,0,0.1,4,0.43,4.25,0.24,3.3,0.1,0.4,-24.2,0,0.67,0.6,0.38,0.34
26.86,495.8,540.5,1156,2.05,1.09,0.11,0.18,0.07,734.4,1662.3,82,221.61,298.41,-12.24,0.26,0.35,0.33,212.3,76.8,1548.2,94.9,0,0.52,0.32,0.24,0.39
5.09,280,229.8,792.4,1.05,-0.03,0.03,0.07,0.03,842.8,1187.8,25.6,89.78,129.38,57.6,0.21,0.29,0.19,38.1,39.6,792.4,25.6,0.43,0.12,0.33,0.25,0.26
76.07,0,0,,,,,,,0,0,0,,,,,0,,0,0,373.1,109,,,,,
16.05,2.1,2.7,118.8,2.42,0.08,0.17,0.23,0.05,37.1,63.1,6.3,10.44,12.54,7.98,0.03,0.02,0.04,1.6,2.1,126.7,7.1,0.18,0.13,0.02,0.02,0.05
19.7,100.6,16,,1.26,,0.08,,,131.6,549.8,3.7,,,,0.09,,0.03,0,0,0,4,0,0,1.24,0.55,0.68
55.06,75914.6,5607,,1.27,,0.62,,,73574.9,84093.5,1914.3,,,,0.06,,0.07,0,0,0,1914.3,0.07,0,3.29,0.77,0.96
8.23,0,22.1,69,13.95,0.17,0.3,0.93,0.14,10.6,37.4,9.7,15.1,15.5,8.19,0.13,0.28,0.59,0.7,0.4,78.4,10.5,0,0.03,0,0,0
12.84,115.6,28.7,1955.6,1.46,0.13,0.12,0.17,0.02,339.3,587.4,31.5,93.09,123.69,50.16,0.05,0.01,0.05,37.6,30.6,1986,31.5,0.06,0.43,0.28,0.22,0.31
0.6,0,0.1,,370,,0,,,0.1,0.2,0,,,,0,0.14,0.5,0,0,0.7,0.2,0,0,0,0,0
0.25,0,1.9,0.4,,22.82,-7.43,-0.42,-26,13.6,3.3,-10.4,-5.76,-5.56,125.69,1.19,0.05,0.58,0,0.2,37.9,-8.4,0.27,0.03,0,0,0
5.26,0.8,0.4,0.1,,0.11,,8.01,-68,-0.7,0.7,-6.8,-5.61,-5.61,-5.01,0,2,0.57,0.2,0,0.2,-11.6,0,0.29,0.01,0.01,
0.65,0.1,0,,,,,,,0,0,0,,,,0,,,0,0,0,0,,,0.02,0.02,
5.14,24.5,2,123.1,0.96,1.58,-0.02,0.08,-0.01,73.3,99.1,-0.8,6.17,10.87,-3.55,0.03,0.02,0.02,14.8,4.7,129.8,-0.2,0.11,0.74,0.51,0.34,0.33
35.12,281.1,25.1,1653.1,1.59,-0.04,0.06,0.1,0.02,846.6,1312.8,35.4,116.05,169.95,89.72,0.02,0.02,0.02,48.4,53.9,1664.7,36.1,0.24,0.27,0.26,0.21,0.32
35.55,281.1,25.1,1653.1,1.57,-0.08,0.06,0.1,0.02,846.6,1312.8,35.4,116.05,169.95,93.34,0.02,0.02,0.02,48.4,53.9,1646.2,28.3,0.24,0.27,0.26,0.21,0.32
37.03,599.2,53.6,4419,4.14,0.68,0.13,0.19,0.04,1946.4,3506.8,182.5,545.3,651.8,116.83,0.01,0.01,0.02,111.4,106.5,5266.1,0,0.22,0.16,0.08,0.07,0.3
5.85,0,8.6,13.3,48.92,0.03,0.31,1.41,0.26,2.5,12.8,3.4,3.6,3.7,3.42,0.07,0.53,0.67,0.1,0.1,16.3,0,0.13,0.01,0,0,0
3.05,4.4,0.5,22.1,2.34,0,0.11,0.15,0.02,7.7,11.2,0.4,1.15,1.65,1.15,0.03,0.02,0.04,0.3,0.5,23.1,1,0,0.27,0.31,0.24,0.54
30.57,2289.1,86.8,11354.2,1.37,0.13,0.16,0.13,0.03,4103.7,5704.8,298.4,783.44,982.34,453.83,0.02,0.01,0.02,201.6,198.9,11839.1,298.4,0.11,0.34,0.67,0.4,0.55
29.79,109,8.6,,1.88,,0.21,,,147.3,677,10,,,,0.03,,0.01,0,0,0,10.9,0,0,0.62,0.38,0.7
8.92,29.3,5.1,189,1.47,-0.83,0.1,0.25,0.01,47.2,78.3,2.2,20.62,32.92,21.98,0.07,0.03,0.07,2.1,12.3,195.1,2.4,0.02,0.63,0.65,0.39,0.56
1.38,37.3,0,244.6,0.94,-1.92,-0.01,0.1,0,51.4,92.7,-0.2,12.52,20.42,14.62,0,0,0,0.4,7.9,215,-2.6,0,0.32,3.42,0.77,0.73
44.04,482,75.8,2043.9,1.43,0.22,0.09,0.09,0.07,2097,2635.9,150.1,305.56,361.56,152.45,0.02,0.04,0.03,87.6,56,2158.3,150.1,0.54,0.2,0.19,0.16,0.22
14.17,4498,6,8291,1.18,-0.25,0,0.11,0,6836,9725,8,761.11,1177.11,950.66,0,0,0,219,416,8495,8,0.34,0.48,1.26,0.56,0.67
37.56,331,150,2407.2,1.94,-0.17,0.07,0.11,0.03,1291.7,2290.1,81.7,203.17,264.17,161.61,0.06,0.06,0.07,38.7,61,2400.2,91.3,0.22,0.14,0.14,0.12,0.23
17.4,113.3,21.2,,1.74,,0.07,,,178.5,1130.1,5.9,,,,0.06,,0.02,0,0,0,3.4,0,0,0.52,0.34,0.57
76.3,868.4,713.2,3447.4,4.52,-0.48,0.15,0.21,0.03,873,3173.7,104.1,277.17,331.57,266.94,0.15,0.19,0.22,0,54.4,3708.1,116.7,0.12,0.19,0.23,0.19,0.55
37.69,470.1,272.8,12189.4,1.41,0.25,0.11,0.17,0.02,1879.4,3487,186.7,498.55,674.95,246.67,0.09,0.02,0.08,268.5,176.4,12730.5,0,0.18,0.42,0.19,0.16,0.22
3.32,0,13.5,,,,-0.21,,,-4.4,121.4,-1.9,,,,6.14,,0.11,0,0,0,-5.6,0,0.02,0,0,0
108.51,334.6,69.3,691.8,2.67,0.72,0.05,0.1,0.07,1155.3,1363.5,46.8,150.05,212.85,31.93,0.02,0.08,0.05,57.2,62.8,844.8,0,0.01,0.49,0.12,0.11,0.27
1.13,3,5.9,26.1,2.26,-0.47,0.02,0.08,0.01,14.1,24.4,0.3,1.17,2.07,1.72,0.16,0.23,0.24,0.4,0.9,25.6,0.2,0.44,0.02,0.09,0.08,0.15
0.24,13.2,0.4,12.1,2.27,-1.24,,0.3,-0.12,6.7,12.4,-1.4,2,4.5,4.48,0.03,0.03,0.03,0.1,2.5,12.4,-1.2,0.39,0.02,5.5,0.85,
18.34,90,126.9,103.2,9.04,0.08,0.33,0.55,0.34,71.6,234.8,35.6,39.31,44.61,36.08,0.16,1.24,0.54,8.4,5.3,102,27.3,0.22,0.05,0.13,0.12,0.45
2.1,0.2,1.7,1.8,105.6,-2.08,0.1,0.3,0.11,0.5,2.9,0.2,0.22,0.22,0.46,0.03,4.25,0.59,0,0,0.4,-0.3,0,0.03,0,0,0.09
3.63,706.6,1682.8,10441.1,1.65,-0.13,0.07,0.23,0.02,1468,5257.8,164.3,372.75,566.05,382.19,0.41,0.16,0.32,150.4,193.3,10441.1,164.3,0.03,0.13,0.21,0.17,0.22
0.01,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
1.8,0,2.4,8.1,1.86,0,0.13,0.9,0.05,0.7,6.6,0.4,0.63,0.83,0.63,0.65,0.29,0.36,0.2,0.2,8.3,0,0,0.09,0,0,0
0.1,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
0.45,1280,159,2430,,0.1,,39.24,-0.38,-4,2446,-928.7,-156.98,-19.98,-141.7,0.12,0.06,0.07,78,137,2834,-80,0.06,0.37,34.97,0.97,
32,0,7.1,12.6,32.14,0.36,0.49,0.21,0.69,10.5,18.8,8.7,2.23,2.53,1.43,0.02,0.39,0.38,0.1,0.3,18.1,10,0.05,0.06,0,0,0
0.78,0,40.4,100,,0.07,-0.47,-2.49,-0.23,7.9,75.1,-22.6,-19.69,-16.19,-18.38,1.07,0.48,0.54,2.4,3.5,84.2,-21.5,0.02,0.06,0,0,0
27,69.8,7.9,89.9,2.21,-0.35,-0.41,0.17,-0.05,73.2,109.5,-4.6,12.24,20.54,16.46,0.05,0.09,0.07,4.1,8.3,90.5,6.2,0,0.7,0.7,0.41,0.86
0.02,0.1,0,0.9,,-0.49,,0.29,-0.44,-1.2,0.5,-0.4,-0.34,-0.34,-0.51,0,0,0,0,0,0.6,-1.3,0.4,0.2,0.2,0.17,
22.27,1722.6,10,7394.9,1.07,1.12,0.12,0.06,0.01,2482.3,2901.6,95.7,239.59,256.99,-18.1,0,0,0,104.4,17.4,7857.2,96.2,0.39,0.05,1.84,0.65,0.69
29.5,122.7,8,536.4,4.22,0.26,0.19,0.19,0.12,449.5,518.6,63,138.61,171.11,65.02,0,0.01,0.02,57.7,32.5,623.1,69,0.18,0.73,0.07,0.06,0.27
1.06,0,4.3,8.3,3.19,0.05,-0.32,-0.42,-0.51,8.8,16.2,-4.2,-3.7,-3.1,-3.5,0.13,0.52,0.27,0.4,0.6,8.3,-4.2,0.47,0.06,0,0,0
4.23,8.6,18.7,98.5,1.33,0.85,0.01,0.06,0,61,115.3,0.4,4.01,7.61,0.5,0.19,0.18,0.16,5.8,3.6,105.8,0,0.37,0.09,0.09,0.09,0.11
15.1,30.1,35.4,90.6,3.89,-0.5,0.12,0.16,0.13,94.1,165.9,12,19.05,23.45,22.94,0.09,0.29,0.21,3,4.4,122.7,11.5,0.63,0.04,0.08,0.07,0.23
7.92,0,252.7,125.6,3.15,-1.74,0,0.07,-0.01,84.2,386.8,-1.3,5.99,17.19,16.42,0.49,1.93,0.65,2.1,11.2,130.9,6.2,0.29,0.01,0,0,0
29.29,907,117.7,3155.4,1.92,-0.07,0.14,0.14,0.05,1942.2,3041.3,157.3,425.66,589.56,299.26,0.03,0.03,0.04,119.8,163.9,3458.7,157.3,0.22,0.33,0.31,0.24,0.44
10.25,1.6,4.9,2.3,5.13,-0.88,0,0.07,0,1.6,7.3,0,0.28,0.48,0.21,0.37,2.13,0.67,0.1,0.2,2.3,0,0,0.22,0.14,0.12,0.25
0.62,2.7,0.1,0.5,11.83,-1.02,,-1.69,-14.8,2.9,5,-7.4,-4.9,-4.8,-9.9,0,,0.02,1.6,0.1,0,0,0,0.84,0.09,0.08,
35.01,0,31.6,115.8,5.21,1.47,0.17,0.06,0.2,101.6,155.1,23,6.16,9.06,-2.88,0.06,0.23,0.2,4.6,2.9,139.4,23.1,0.02,0.05,0,0,0
2.06,0.3,0.4,5.8,11.27,0.21,0.35,0.4,0.14,2.2,3.4,0.8,0.89,0.99,0.69,0.02,0.06,0.12,0.1,0.1,6.5,0.9,0,0.03,0.01,0.01,0.12
0.47,0,9.5,,,,-0.58,,,-0.1,10.5,-5.4,,,,0.9,95,0.9,0.2,0.2,0.1,-6.3,0,0.04,0,0,0
3.72,10,292.1,170.7,,-0.02,0.09,-1.72,0.14,-17.1,393.8,24.5,30.21,38.41,30.01,0.3,1.6,0.74,9,8.2,182.5,9.6,0,0.02,0.01,0.01,0.04
5.03,0.1,20.6,,,,-0.85,,,-1.4,22.6,-16.3,,,,0.16,,0.91,0.4,0.6,0,-23.2,0,0.07,0,0,0.01
40.81,15439,7281,66912,1.55,0.07,0.07,0.27,0.02,31380,88777,1575,9320.84,12805.84,7789.12,0.13,0.11,0.08,4238,3485,65595,1575,0.05,0.14,0.38,0.28,0.4
18.4,271.8,268.9,451,4.37,-0.2,0.14,0.28,0.08,238.8,1225.3,34.1,106.93,130.73,80.33,0.2,0.57,0.22,13.5,23.8,474.1,34.1,0.01,0.19,0.26,0.21,0.54
19.1,0,31.2,,1.97,,0.05,,,105.9,890.5,6.6,,,,0.13,,0.04,0,0,0,5.1,0.02,0.01,0,0,0
11.12,41.7,1.4,356.6,3.68,4.72,0.11,0.14,0.04,168,197.8,13.8,27.03,32.43,-84.57,0,0,0.01,7.1,5.4,1150.9,17,0.44,0.11,0.07,0.07,0.25
23.98,87.8,3.7,385.3,1.23,0.11,0.04,0.11,0.03,376.5,469.4,10.5,56.25,70.05,37.65,0.01,0.01,0.01,17.1,13.8,402.9,10.5,0.71,0.08,0.23,0.19,0.23
0.02,0,0,1.2,,-0.04,,8.23,-1.42,-0.2,0,-1.7,-1.65,-1.55,-1.71,0,0,,0,0.1,0.2,-0.7,,,0,0,
27.54,2962.1,199.8,,1.18,,0.09,,,4162.9,13789.8,119.1,,,,0.04,,0.01,0,0,0,111.8,0.04,0,1.38,0.58,0.68
29.16,426.5,10.6,819.1,1.64,0.78,0.12,0.09,0.05,763.7,1243.3,43,115.66,140.56,15.18,0.01,0.01,0.01,74.1,24.9,857.5,43,0,0.64,0.51,0.34,0.55
9.5,0,25.5,,15,,0.04,,,0.2,215.6,1.1,,,,0.89,,0.12,0,0,0,1.5,0,0.01,0,0,0
24.1,69.3,11.9,,1.45,,0.06,,,94,366.1,2.2,,,,0.08,,0.03,0,0,0,2.5,0,0,0.87,0.47,0.65
42,40,13.2,,2.89,,0.15,,,85.8,706.5,8.7,,,,0.05,,0.02,0,0,0,8.8,0,0,0.18,0.15,0.4
28.25,5,17.9,,2.21,,0.12,,,36.3,400.8,5.8,,,,0.18,,0.04,0,0,0,5.5,0,0,0.05,0.05,0.09
16.25,0,5.7,,0.68,,0.03,,,11.6,106.4,0.6,,,,0.42,,0.05,0,0,0,0.6,0,0,0,0,0
34.5,13858,373,11902,1.58,0.34,0.15,0.12,0.13,24885,36962,1589,4005.02,5183.02,1920.95,0.01,0.03,0.01,2110,1178,13107,1589,0,0.77,0.53,0.35,0.56
24.01,26.2,16.3,,1.37,,0.12,,,38.1,321.6,3.3,,,,0.24,,0.05,0,0,0,2.7,0,0,0.62,0.38,0.48
14.7,7.2,4.6,,1.22,,0.11,,,28.6,311.9,2.9,,,,0.12,,0.01,0,0,0,0.1,0.01,0.02,0.22,0.18,0.22
66.95,289,591.3,1715.9,6.84,0.15,0.35,0.46,0.35,1418.6,2597.1,596.8,996.59,1066.19,557.36,0.06,0.19,0.23,171.7,69.6,3098.9,1118.8,0.04,0.47,0.03,0.03,0.14
23.63,2275.6,20,1800,1.3,0.32,0.09,0.09,0.06,3747.6,4572.5,114,523.8,642.6,223.25,0,0.01,0,226.1,118.8,1614.7,187.2,0.14,0.7,0.87,0.47,0.64
0.34,0,0.7,,1.77,,-0.74,,,17.5,37.3,-13.5,,,,0.02,,0.02,7.6,3.2,0,0,0,0.86,0,0,0
11.85,0,5,,0.65,,-0.05,,,5.4,141.5,-0.5,,,,0.59,,0.04,0,0,0,0,0,0.03,0,0,0
7.08,1.2,2,,1,,0,,,19.9,81.7,-0.1,,,,0.09,,0.02,0,0,0,-0.4,0,0,0.06,0.05,0.05
20.2,272.7,47.2,,1.41,,0.14,,,325.9,1455,14.2,,,,0.09,,0.03,0,0,0,14.8,0,0,1.17,0.54,0.73
0.61,16,4.5,57.6,0.91,-0.27,0.22,0.18,0.06,31,44.9,3.2,9.88,12.38,7.13,0.14,0.07,0.1,0.4,2.5,62.8,11.7,0,0.47,0.96,0.49,0.52
16.44,1846,1305,6530,2.25,1.93,0.06,0.1,0.05,6065,11337,313,984.72,1415.72,-589.04,0.09,0.18,0.12,1775,431,7251,340,0,0.77,0.14,0.12,0.25
20,209.9,24.1,,1.48,,0.15,,,311.8,1912.8,18.6,,,,0.05,,0.01,0,0,0,19.8,0,0,0.76,0.43,0.62
32,8.2,101.2,,,,0.12,,,-54.1,532.9,4.8,,,,0.8,,0.19,0,0,0,0,0,0,0.07,0.06,0.17
21.85,30.5,13.4,,1.56,,0.1,,,56.5,305.2,3.9,,,,0.13,,0.04,0,0,0,3.9,0.01,0,0.43,0.3,0.44
26.33,1392.7,13.6,1477.1,1.16,0.78,0.08,0.1,0.04,2084.8,2938.1,58.9,319.05,465.05,44.78,0.01,0.01,0,302.7,146,1629,58.9,0,0.8,1.35,0.57,0.66
14.31,119.2,1.9,188,1.81,0.16,0.04,0.44,0.02,244,404.8,4.5,167.9,177.1,90,0,0.01,0,25.7,9.2,200.7,4.8,0.1,0.75,0.37,0.27,0.49
35.79,325,1.2,477.1,8.41,1.35,0.23,0.21,0.21,771.5,1146.1,101,255.96,329.66,-55.54,0,0,0,291.1,73.7,605.2,101,0,0.86,0.05,0.05,0.42
21.6,0,1160.9,,1.75,,0.11,,,3827.5,54471.3,554.5,,,,0.15,,0.02,0,0,0,554.5,0.04,0.01,0,0,0
46.88,0,0,,,,,,,0,0,0,,,,,0,,0,0,134.3,34.3,,,,,
4.5,0.1,0,,,,,,,-0.1,0,-0.5,,,,0,,,0,0,0,0,,,0,0,
1.4,0,5.1,4.9,15.24,1.12,-0.23,0.05,-0.2,1.7,6.1,-1,0.23,0.33,-0.01,0.16,1.06,0.84,0.2,0.1,4.8,-1.2,0,0.05,0,0,0
0.7,67,7.3,59.4,0.8,-0.25,-0.17,0.1,-0.04,86.5,102,-2.5,8.31,13.81,10.41,0.1,0.13,0.07,3.4,5.5,58.4,-6,0,0.72,7.2,0.88,0.82
12.23,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
10.26,0,6.4,49.9,1.54,0.07,0.1,0.15,0.04,14,26.9,2,3.02,3.72,1.9,0.23,0.17,0.24,2,0.7,38.5,2.2,0.1,0.23,0,0,0
5.11,453.9,132,156.4,0.82,0.24,-0.01,0.03,-0.02,802.5,1009.7,-3.9,54.88,58.18,16.75,0.17,0.78,0.13,3,3.3,168.7,-35.3,0.74,0.02,1.37,0.58,0.53
0.9,5,0.9,51.4,2.73,-0.07,-3.32,-0.32,-0.24,7.8,15.8,-12.3,-2.5,-1.1,-2.68,0.04,0.02,0.06,1.3,1.4,54.4,0.7,0.05,0.09,0.29,0.23,0.57
10.29,0.1,12,312.3,2.07,1,0.09,0.13,0.02,55.6,106.9,5.9,11.31,13.61,0,0.09,0.03,0.11,5.9,2.3,347.8,7.7,0.04,0.17,0,0,0
10.42,94.7,14.9,2043.2,1.48,0.06,0.16,0.2,0.01,205.2,384.5,19.9,60.07,82.67,39.15,0.05,0.01,0.04,25.4,22.6,2027,21,0.19,0.28,0.42,0.3,0.43
21.9,474.1,49,1121.7,1.35,0.58,0.1,0.09,0.04,842.8,1149.6,42.1,127.87,162.97,33.21,0.04,0.04,0.04,35,35.1,1396.9,17.2,0.35,0.29,0.67,0.4,0.53
8.96,0,30,167.2,0.86,0.5,0.08,0.07,0.05,67.2,129.5,8.1,6.6,8.3,2.36,0.34,0.19,0.23,6.2,1.7,159.3,4.4,0,0.13,0,0,0
3.47,10.6,9.1,1.2,17.57,-0.12,-1.57,-1.01,-7.83,7.5,19.6,-9.4,-7.61,-7.01,-8.48,0.06,30.33,0.46,1.7,0.6,0.3,-10.6,0,0.19,0.08,0.08,0.64
0.04,0.1,0.9,1.1,0.5,1.67,-0.25,-0.08,-0.18,1.2,1.5,-0.2,-0.09,0.01,0.06,0.6,0.64,0.6,0,0.1,1.4,0.1,0.13,0,0.07,0.07,0.11
0.43,0,1.6,5.8,29.33,-6.64,-0.14,-0.02,-0.05,0.6,4.1,-0.3,-0.01,0.09,-0.08,0.08,0.24,0.39,0.2,0.1,6.8,-0.5,0.07,0.1,0,0,0
13.04,0,18.3,134.8,3.21,-5.02,-0.12,-0.05,-0.1,91.2,126.1,-12.9,-4.56,1.94,-27.41,0.06,0.12,0.15,26.8,6.5,150.1,-20,0.05,0.26,0,0,0
6.16,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
0.47,8.6,1.7,10,1.21,0.22,-1.4,-0.35,-0.74,12.2,15.6,-7.4,-4.31,-3.21,-3.37,0.1,0.18,0.11,0.4,1.1,9.2,-7.3,0.35,0.08,1.09,0.52,0.62
11.87,0,14.6,90,3.58,0.18,0.15,0.2,0.12,58.6,91.4,11,18.68,20.28,9.47,0.07,0.15,0.16,2.2,1.6,95.1,12.5,0,0.05,0,0,0
11.25,0,14,34.7,29.24,-0.42,0.13,0.29,0.09,9.5,33,3,2.74,4.24,3.89,0.05,0.35,0.42,0.4,1.5,40.2,2.7,0.01,0.13,0,0,0
1.9,1.7,2.4,0.1,7.3,-1.51,-1.19,-1.31,-44,3.3,6.3,-4.4,-4.31,-4.31,-10.81,0.09,6,0.38,0.8,0,0.4,-5.8,0,0.13,0.07,0.06,0.31
20.31,2307.3,29.9,2359.4,1.06,0.02,0.06,0.06,0.02,3120.1,4022.1,46.8,291.62,352.52,188.69,0.01,0.01,0.01,63.8,60.9,2359.4,46.8,0.64,0.08,2.26,0.69,0.73
